"systemequipmentcode","CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode2","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","numberofoffersreceived","multipleorsingleawardidc","AwardOrIDVcontractactiontype"
"180","16671385","1","126822","0","0","2005","2005","1","GS24F0806A","N0016405F5174","NA","","319529","","1700","N00164","NA","NA","NA","NO","180","","A","NA","","NA","NA","126822","2005-04-01 00:00:00.0000000","2005-04-01 00:00:00.0000000","126822","0","0","1","0","0","0","0","0","0","0","NA","NA","2005-05-02","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Federal Supply Schedule"
"180","18775754","1","28487","0","0","2005","2005","1","N0016400D0031","0067","NA","","29124","","1700","N00164","NA","NA","NA","U","180","","D","NA","False","NA","NA","28487","2005-05-04 00:00:00.0000000","2005-05-04 00:00:00.0000000","28487","0","0","1","0","0","0","0","0","0","0","NA","NA","2005-09-25","0","0","0","0","0","0",0,1,NA,NA,1,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3057768","1","24990","24990","24990","2010","2010","0","","N0016410P0001","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","24990","2009-10-13 00:00:00.0000000","2009-10-13 00:00:00.0000000","24990","24990","24990","3","0","0","0","0","0","0","0","NA","2009-10-20","2009-10-20","0","0","0","0","0","0",1,1,NA,NA,3,NA,"Purchase Order"
"198","18983058","1","1004","0","0","2005","2005","1","N0060400A0019","48AA","NA","","15742","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","1004","2005-03-16 00:00:00.0000000","2005-03-16 00:00:00.0000000","1004","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-31","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"516","3480141","3","2878","2878","2878","2012","2012","0","","N6279312PA138","NA","","23356","","1700","N62793","NA","NA","NA","J","516","","F","NA","True","NA","NA","2878","2012-05-18 00:00:00.0000000","2012-06-19 00:00:00.0000000","2878","2878","2878","NA","0","1","0","0","0","0","0","NA","2012-06-07","2012-06-07","0","0","0","0","0","0",0,1,NA,NA,1,NA,"Purchase Order"
"180","3052564","1","24800","24800","24800","2007","2007","0","","N0016407P0539","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","24800","2007-01-26 00:00:00.0000000","2007-01-26 00:00:00.0000000","24800","24800","24800","1","0","0","0","0","0","0","0","NA","2007-04-20","2007-04-20","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"198","18983015","23","489","0","0","2005","2005","1","N0060400A0019","24AB","NA","","15742","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","489","2005-03-31 00:00:00.0000000","2005-03-31 00:00:00.0000000","489","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-31","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"374","18801402","14","2515952","0","0","2005","2008","1","N0017804D4087","HR01","NA","","137583","","1700","N61331","NA","NA","NA","","374","FAIR","A","NA","False","NA","NA","2515952","2005-09-01 00:00:00.0000000","2008-05-05 00:00:00.0000000","70000","0","0","NA","1","1","1","1","1","1","1","NA","2010-07-31","2009-09-30","0","0","0","180000","0","0",0,1,NA,NA,21,"MULTIPLE AWARD","Indefinite Delivery Contract"
"198","18793286","4","-18062","0","0","2005","2006","1","N0017300D2400","0006","NA","","393044","","1700","N00173","NA","NA","NA","J","","","D","NA","True","NA","NA","-18062","2005-03-02 00:00:00.0000000","2006-03-08 00:00:00.0000000","0","0","0","NA","0","1","0","0","0","0","0","NA","NA","2001-09-30","0","0","0","0","0","0",0,1,NA,NA,10,"SINGLE AWARD","Indefinite Delivery Contract"
"198","17221499","2","4598","4598","4598","2007","2007","1","GS29F0177G","N0042107F0043","NA","","31216","","1700","N00421","NA","NA","NA","J","198","","A","NA","True","NA","NA","4598","2006-10-18 00:00:00.0000000","2006-12-21 00:00:00.0000000","4716","4716","4716","NA","0","1","0","0","0","0","0","NA","2007-01-20","2007-01-20","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Federal Supply Schedule"
