"CSIScontractID","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","numberofoffersreceived","multipleorsingleawardidc","AwardOrIDVcontractactiontype","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","MajorCommandID","simplearea"
24539745,NA,"2010-08-23","2008-06-30",13,171238338,0,0,2005,2009,1,"W52P1J05G0002","0001",NA,NA,60434,"","2100","W52P1J",NA,NA,"J","000","","A",NA,"True",NA,NA,171238338,"2005-08-23 00:00:00.0000000","2008-12-12 00:00:00.0000000",0,0,0,60787,0,0,171177551,0,0,NA,0,1,0,0,0,12,1,1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract","2010-08-23 00:00:00.0000000","","","ORG-2877","Products"
18631082,NA,"2009-11-30","2009-11-30",14,1451214274.2,1451214274.2,1451214274.2,2008,2010,1,"M6785407D5032","0006",NA,NA,63335,"","1700","M67854",NA,NA,"","000","","A",NA,"True",NA,NA,1451214274.2,"2007-12-18 00:00:00.0000000","2010-06-08 00:00:00.0000000",13165001.51,16094407.76,16094407.76,345765830.69,342600174.44,342600174.44,1048495692,1048495692,1048495692,NA,0,1,0,3,1,6,1,1,1,NA,NA,10,"SINGLE AWARD","Indefinite Delivery Contract","2008-07-25 00:00:00.0000000","2008-07-25 00:00:00.0000000","","ORG-2943","Products"
25841356,NA,"2013-09-30","2013-09-30",29,85676243.6991,85676243.6991,85676243.6991,2013,2013,1,"HTC71113DCC02","0047",NA,NA,211222,"","9776","HTC711",NA,NA,"J","000","FAIR","A",NA,"True",NA,NA,85676243.6991,"2012-10-12 00:00:00.0000000","2013-12-20 00:00:00.0000000",0,0,0,-3607145.3546,-3607145.3546,-3607145.3546,92952840,92952840,92952840,NA,1,1,1,0,0,18,1,0,1,NA,NA,28,"MULTIPLE AWARD","Indefinite Delivery Contract","2013-09-30 00:00:00.0000000","2013-09-30 00:00:00.0000000","","","Services"
21464837,NA,"2009-08-24","2009-08-24",1,4136,4136,4136,2009,2009,1,"SPM2DX08D1682","AF90",NA,NA,327433,"","97AS","SPM2DX",NA,NA,"J","000","","A",NA,"True",NA,NA,4136,"2009-08-22 00:00:00.0000000","2009-08-22 00:00:00.0000000",0,0,0,0,0,0,4136,4136,4136,4,0,0,0,0,0,0,0,1,1,NA,NA,4,"SINGLE AWARD","Indefinite Delivery Contract","2009-08-24 00:00:00.0000000","2009-08-24 00:00:00.0000000","","ORG-2785","Products"
8098388,NA,"2009-04-30","2009-04-30",289,8813018,8813018,8813018,2009,2009,0,"","W911S009PV004",NA,NA,23356,"","2100","W911S0",NA,NA,"J","000","","A",NA,"True",NA,NA,8813018,"2009-04-01 00:00:00.0000000","2009-04-01 00:00:00.0000000",0,0,0,0,0,0,8813018,8813018,8813018,1,0,0,0,0,0,0,0,1,1,NA,NA,1,NA,"Purchase Order","2009-04-30 00:00:00.0000000","2009-04-30 00:00:00.0000000","","ORG-2877","Products"
24936336,NA,NA,"2005-09-30",31,8523832,0,0,2005,2005,1,"W91GEY05D0001","0509",NA,NA,10276,"","2100","W91GEY",NA,NA,"J","000","","A",NA,"True",NA,NA,8523832,"2005-09-01 00:00:00.0000000","2005-09-01 00:00:00.0000000",0,0,0,0,0,0,8523832,0,0,2,0,0,0,0,0,0,0,1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract","2005-09-30 00:00:00.0000000","","","ORG-2874","Products"
1153648,NA,"2005-04-30","2005-04-30",14,711887929.08,0,0,2003,2007,0,"","F0863503C0055",NA,NA,23356,"","5700","",NA,NA,"","","","E",NA,"",NA,NA,711887929.08,"2003-03-20 00:00:00.0000000","2007-02-14 00:00:00.0000000",0,0,0,22358763.08,0,0,689529166,0,0,NA,0,1,0,0,0,13,1,0,1,1,0,1,NA,"Definitive Contract","2005-03-31 00:00:00.0000000","","","ORG-2825","Products"
2943654,NA,"2013-09-30","2013-09-30",1402,21981815591.3087,22630545687.9008,23302751845.9908,2003,2013,0,"","MDA90603C0009",NA,NA,23356,"","","",NA,NA,"","000","","A",NA,"",NA,NA,21981815591.3087,"2003-09-09 00:00:00.0000000","2013-09-26 00:00:00.0000000",142958137.41,102055218.97,102055218.97,5393905781.9656,2981301926.7981,2651952189.2481,38306521,12138306521,13138306521,NA,1,1,1,402,1,227,1,1,1,NA,NA,2,NA,"Definitive Contract","2004-03-03 00:00:00.0000000","2004-03-03 00:00:00.0000000","","","Services"
24868084,NA,"2008-08-02","2008-08-02",6,5141138.37,5141138.37,5141138.37,2007,2009,1,"W912P907D0503","0001",NA,NA,113032,"","2100","W912P9",NA,NA,"J","000","","A",NA,"True",NA,NA,5141138.37,"2007-04-17 00:00:00.0000000","2009-09-08 00:00:00.0000000",28347.37,28347.37,28347.37,0,0,0,5112791,5112791,5112791,NA,0,1,0,4,1,0,0,1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract","2008-04-16 00:00:00.0000000","2008-04-16 00:00:00.0000000","","ORG-2872","Services"
9120834,NA,"2013-09-30","2013-09-30",91,6062153912.53,0,0,2003,2013,1,"DAAA0902D0007","0059",NA,NA,281344,"","2100","",NA,NA,"","000","","A",NA,"False",NA,NA,6062153912.53,"2003-08-12 00:00:00.0000000","2013-06-04 00:00:00.0000000",0,0,0,210039309.2,0,0,1.6e+08,0,0,NA,0,1,0,0,0,21,1,1,1,NA,NA,3,"SINGLE AWARD","Indefinite Delivery Contract","2012-01-31 00:00:00.0000000","2012-01-31 00:00:00.0000000","","ORG-2877","Services"
