"systemequipmentcode","CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode2","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","numberofoffersreceived","multipleorsingleawardidc","AwardOrIDVcontractactiontype"
"180","3054791","2","24773","24773","24773","2008","2008","0","","N0016408P0393","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","B","NA","True","NA","NA","24773","2008-01-08 00:00:00.0000000","2008-06-06 00:00:00.0000000","500","500","500","NA","0","1","0","0","0","1","1","NA","2008-08-29","2008-08-29","0","0","0","24273","24273","24273",0,0,0,0,1,NA,"Purchase Order"
"180","3052564","1","24800","24800","24800","2007","2007","0","","N0016407P0539","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","24800","2007-01-26 00:00:00.0000000","2007-01-26 00:00:00.0000000","24800","24800","24800","1","0","0","0","0","0","0","0","NA","2007-04-20","2007-04-20","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"198","2961738","4","123259481","211500209","211500209","2012","2013","0","","N0001912C0070","NA","","23356","","1700","N00019","NA","NA","NA","V","198","","B","NA","False","NA","NA","123259481","2012-01-31 00:00:00.0000000","2013-09-09 00:00:00.0000000","4678381","4678381","4678381","NA","0","1","0","0","0","3","1","NA","2016-05-13","2016-05-13","0","0","0","118581100","206821828","206821828",0,0,0,0,1,NA,"Definitive Contract"
"198","25855554","1","134923","134923","134923","2013","2013","1","N0001913D0005","0010","NA","","67571","","1700","N00019","NA","NA","NA","U","198","","C","NA","False","NA","NA","134923","2013-04-25 00:00:00.0000000","2013-04-25 00:00:00.0000000","134923","134923","134923","1","0","0","0","0","0","0","0","NA","2013-07-31","2013-07-31","0","0","0","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3051150","1","2460","2460","2460","2006","2006","0","","N0016406P1866","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","2460","2006-08-10 00:00:00.0000000","2006-08-10 00:00:00.0000000","2460","2460","2460","1","0","0","0","0","0","0","0","NA","2006-12-14","2006-12-14","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"198","18983015","23","489","0","0","2005","2005","1","N0060400A0019","24AB","NA","","15742","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","489","2005-03-31 00:00:00.0000000","2005-03-31 00:00:00.0000000","489","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-31","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"198","18983888","1","330","0","0","2005","2005","1","N0060404A0001","12AA","NA","","407185","","1700","N00604","NA","NA","NA","J","198","","B","NA","True","NA","NA","330","2005-03-01 00:00:00.0000000","2005-03-01 00:00:00.0000000","330","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-15","0","0","0","0","0","0",0,0,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"374","18801402","14","2515952","0","0","2005","2008","1","N0017804D4087","HR01","NA","","137583","","1700","N61331","NA","NA","NA","","374","FAIR","A","NA","False","NA","NA","2515952","2005-09-01 00:00:00.0000000","2008-05-05 00:00:00.0000000","70000","0","0","NA","1","1","1","1","1","1","1","NA","2010-07-31","2009-09-30","0","0","0","180000","0","0",0,1,NA,NA,21,"MULTIPLE AWARD","Indefinite Delivery Contract"
"198","18793286","4","-18062","0","0","2005","2006","1","N0017300D2400","0006","NA","","393044","","1700","N00173","NA","NA","NA","J","","","D","NA","True","NA","NA","-18062","2005-03-02 00:00:00.0000000","2006-03-08 00:00:00.0000000","0","0","0","NA","0","1","0","0","0","0","0","NA","NA","2001-09-30","0","0","0","0","0","0",0,1,NA,NA,10,"SINGLE AWARD","Indefinite Delivery Contract"
"516","18684122","2","6688","6688","6688","2008","2008","1","N0002405G4417","L116","NA","","427378","","1700","N62789","NA","NA","NA","","516","","C","NA","False","NA","NA","6688","2008-05-05 00:00:00.0000000","2008-09-19 00:00:00.0000000","7500","7500","7500","NA","0","1","0","1","1","0","0","NA","2008-05-10","2008-05-10","-812","-812","-812","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3047300","1","11550","0","0","2005","2005","0","","N0016405M0346","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","11550","2004-12-28 00:00:00.0000000","2004-12-28 00:00:00.0000000","11550","0","0","1","0","0","0","0","0","0","0","NA","NA","2005-04-01","0","0","0","0","0","0",0,0,NA,NA,1,NA,"Purchase Order"
"198","17221499","2","4598","4598","4598","2007","2007","1","GS29F0177G","N0042107F0043","NA","","31216","","1700","N00421","NA","NA","NA","J","198","","A","NA","True","NA","NA","4598","2006-10-18 00:00:00.0000000","2006-12-21 00:00:00.0000000","4716","4716","4716","NA","0","1","0","0","0","0","0","NA","2007-01-20","2007-01-20","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Federal Supply Schedule"
"198","18983244","1","760","0","0","2005","2005","1","N0060400A0033","88AA","NA","","309435","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","760","2005-04-01 00:00:00.0000000","2005-04-01 00:00:00.0000000","760","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-04-15","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"180","2962829","137","49197976","0","0","2003","2008","0","","N0002403C2307","NA","","23356","","1700","","NA","NA","NA","","","","A","NA","False","NA","NA","49197976","2003-08-01 00:00:00.0000000","2008-04-24 00:00:00.0000000","7667628","0","0","NA","0","1","0","0","0","54","1","NA","2008-07-15","2008-07-15","0","0","0","33287636","0","0",1,1,NA,NA,1,NA,"Definitive Contract"
"198","18984243","1","533","0","0","2005","2005","1","N0060405A0001","67AA","NA","","222792","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","533","2005-03-01 00:00:00.0000000","2005-03-01 00:00:00.0000000","533","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-15","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3047051","1","24549","0","0","2005","2005","0","","N0016405M0028","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","D","NA","True","NA","NA","24549","2004-10-08 00:00:00.0000000","2004-10-08 00:00:00.0000000","24549","0","0","1","0","0","0","0","0","0","0","NA","NA","2004-10-22","0","0","0","0","0","0",0,1,NA,NA,1,NA,"Purchase Order"
"198","18983430","1","1491","0","0","2005","2005","1","N0060400A0060","81AA","NA","","432523","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","1491","2005-03-22 00:00:00.0000000","2005-03-22 00:00:00.0000000","1491","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-22","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"198","18982952","1","1318","0","0","2005","2005","1","N0060400A0004","19AA","NA","","26199","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","1318","2005-03-16 00:00:00.0000000","2005-03-16 00:00:00.0000000","1318","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-28","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"198","19433688","1","28872","0","0","2004","2004","1","N6883600D0011","8B4P","NA","","403414","","1700","BS670","NA","NA","NA","J","198","","A","NA","True","NA","NA","28872","2004-02-13 00:00:00.0000000","2004-02-13 00:00:00.0000000","28872","0","0","2","0","0","0","0","0","0","0","NA","NA","2004-03-11","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3052212","1","9800","9800","9800","2007","2007","0","","N0016407P0166","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","9800","2006-11-14 00:00:00.0000000","2006-11-14 00:00:00.0000000","9800","9800","9800","1","0","0","0","0","0","0","0","NA","2007-01-01","2007-01-01","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3054024","1","6676","6676","6676","2007","2007","0","","N0016407P2163","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","6676","2007-09-16 00:00:00.0000000","2007-09-16 00:00:00.0000000","6676","6676","6676","1","0","0","0","0","0","0","0","NA","2007-09-25","2007-09-25","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3048986","1","2646","0","0","2005","2005","0","","N0016405P1925","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","2646","2005-09-03 00:00:00.0000000","2005-09-03 00:00:00.0000000","2646","0","0","1","0","0","0","0","0","0","0","NA","NA","2005-11-04","0","0","0","0","0","0",0,0,NA,NA,1,NA,"Purchase Order"
"301","19109203","1","43027","0","0","2004","2004","1","N6246798D1037","0136","NA","","159599","","1700","C2467","NA","NA","NA","J","301","","A","NA","True","NA","NA","43027","2004-01-23 00:00:00.0000000","2004-01-23 00:00:00.0000000","43027","0","0","1","0","0","0","0","0","0","0","NA","NA","2004-09-30","0","0","0","0","0","0",1,1,NA,NA,1,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3048757","2","6850","0","0","2005","2005","0","","N0016405P1659","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","6850","2005-07-12 00:00:00.0000000","2005-08-04 00:00:00.0000000","13700","0","0","NA","0","1","0","0","0","0","0","NA","NA","2005-12-23","0","0","0","0","0","0",0,0,NA,NA,1,NA,"Purchase Order"
"515","2934928","3","249956","249956","249956","2012","2012","0","","M6785412C0022","NA","","23356","","1700","M67854","NA","NA","NA","J","515","","A","NA","True","NA","NA","249956","2012-06-26 00:00:00.0000000","2012-09-06 00:00:00.0000000","250000","250000","250000","NA","0","1","0","0","0","1","1","NA","2013-02-13","2013-02-13","0","0","0","-44","-44","-44",1,1,NA,NA,4,NA,"Definitive Contract"
"198","18983181","1","788","0","0","2005","2005","1","N0060400A0033","0019","NA","","309435","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","788","2005-03-01 00:00:00.0000000","2005-03-01 00:00:00.0000000","788","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-15","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"198","3040006","2","7200","0","0","2004","2004","0","","N0014004P0106","NA","","23356","","1700","RA13A","NA","NA","NA","J","","","","NA","True","NA","NA","7200","2003-10-03 00:00:00.0000000","2003-10-03 00:00:00.0000000","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","9999-09-09","0","0","0","0","0","0",1,1,NA,NA,15,NA,"Purchase Order"
"515","2931702","1","70000","0","0","2004","2004","0","","M6785404C0030","NA","","23356","","1700","F9999","NA","NA","NA","J","515","","D","NA","True","NA","NA","70000","2004-03-08 00:00:00.0000000","2004-03-08 00:00:00.0000000","70000","0","0","22","0","0","0","0","0","0","0","NA","NA","2004-09-08","0","0","0","0","0","0",0,1,NA,NA,22,NA,"Definitive Contract"
"198","18984180","105","344","0","0","2005","2005","1","N0060405A0001","20AA","NA","","222792","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","344","2005-03-01 00:00:00.0000000","2005-03-01 00:00:00.0000000","344","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-15","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3047406","1","13644","0","0","2005","2005","0","","N0016405M0492","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","13644","2005-09-30 00:00:00.0000000","2005-09-30 00:00:00.0000000","13644","0","0","1","0","0","0","0","0","0","0","NA","NA","2006-05-05","0","0","0","0","0","0",0,0,NA,NA,1,NA,"Purchase Order"
"198","18664029","4","38053.5596","38053.5596","38053.5596","2012","2013","1","N0001912D0002","0006","NA","","264275","","1700","N00019","NA","NA","NA","U","198","","C","NA","False","NA","NA","38053.5596","2012-04-27 00:00:00.0000000","2012-12-31 00:00:00.0000000","13993","13993","13993","NA","0","1","0","0","0","2","1","NA","2013-03-31","2013-03-31","0","0","0","24060.5596","24060.5596","24060.5596",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"198","19442596","3","115475.72","115475.72","115475.72","2010","2010","1","N6893607D0046","0007","NA","","237785","","1700","N68936","NA","NA","NA","Y","198","ONE","A","NA","False","NA","NA","115475.72","2009-11-20 00:00:00.0000000","2010-03-31 00:00:00.0000000","90478.04","90478.04","90478.04","NA","0","1","0","0","0","1","1","NA","2010-09-30","2010-09-30","0","0","0","24997.68","24997.68","24997.68",0,0,0,0,1,"MULTIPLE AWARD","Indefinite Delivery Contract"
"180","25008552","1","1376763.31","1376763.31","1376763.31","2008","2008","1","W91QUZ07D0011","FC03","NA","","351086","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","1376763.31","2008-08-05 00:00:00.0000000","2008-08-05 00:00:00.0000000","1376763.31","1376763.31","1376763.31","17","0","0","0","0","0","0","0","NA","2008-08-29","2008-08-29","0","0","0","0","0","0",1,1,NA,NA,17,"SINGLE AWARD","Indefinite Delivery Contract"
"198","18662821","1","235019.07","235019.07","235019.07","2012","2012","1","N0001909D0022","0057","NA","","420938","","1700","N00019","NA","NA","NA","Y","198","","C","NA","False","NA","NA","235019.07","2011-10-19 00:00:00.0000000","2011-10-19 00:00:00.0000000","235019.07","235019.07","235019.07","1","0","0","0","0","0","0","0","NA","2012-01-15","2012-01-15","0","0","0","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"198","19239817","1","46131","0","0","2004","2004","1","N6267001D0003","8B3C","NA","","410474","","1700","BS670","NA","NA","NA","J","198","","A","NA","True","NA","NA","46131","2004-01-31 00:00:00.0000000","2004-01-31 00:00:00.0000000","46131","0","0","2","0","0","0","0","0","0","0","NA","NA","2004-02-18","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"197","25022164","1","11447.07","11447.07","11447.07","2010","2010","1","W91QVN07A0019","0139","NA","","247884","","2100","W91QVN","NA","NA","NA","J","197","","A","NA","True","NA","NA","11447.07","2010-07-23 00:00:00.0000000","2010-07-23 00:00:00.0000000","11447.07","11447.07","11447.07","3","0","0","0","0","0","0","0","NA","2010-08-27","2010-08-27","0","0","0","0","0","0",1,1,NA,NA,3,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3054084","1","21975","21975","21975","2007","2007","0","","N0016407P2230","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","21975","2007-09-24 00:00:00.0000000","2007-09-24 00:00:00.0000000","21975","21975","21975","1","0","0","0","0","0","0","0","NA","2008-09-30","2008-09-30","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3050048","1","5485","0","0","2006","2006","0","","N0016406P0588","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","5485","2006-01-26 00:00:00.0000000","2006-01-26 00:00:00.0000000","5485","0","0","1","0","0","0","0","0","0","0","NA","NA","2006-02-14","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"180","3049630","1","22675","0","0","2006","2006","0","","N0016406P0082","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","22675","2005-11-17 00:00:00.0000000","2005-11-17 00:00:00.0000000","22675","0","0","1","0","0","0","0","0","0","0","NA","NA","2006-01-20","0","0","0","0","0","0",0,0,NA,NA,1,NA,"Purchase Order"
"180","3053088","1","2678","2678","2678","2007","2007","0","","N0016407P1112","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","2678","2007-05-09 00:00:00.0000000","2007-05-09 00:00:00.0000000","2678","2678","2678","0","0","0","0","0","0","0","0","NA","2007-05-16","2007-05-16","0","0","0","0","0","0",1,1,NA,NA,0,NA,"Purchase Order"
"374","18801863","53","43174429.6016","49877382","49877382","2010","2013","1","N0017804D4119","HR06","NA","","11553","","1700","N61331","NA","NA","NA","U","374","FAIR","A","NA","False","NA","NA","43174429.6016","2010-03-01 00:00:00.0000000","2013-09-27 00:00:00.0000000","50400","9436017","49877382","NA","0","1","0","0","0","0","0","NA","2016-05-31","2016-05-31","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Indefinite Delivery Contract"
"198","18820857","2","-88","0","0","2004","2004","1","N0018900D0042","002302","NA","","161514","","1700","RA10A","NA","NA","NA","J","198","","D","NA","True","NA","NA","-88","2003-11-18 00:00:00.0000000","2003-11-18 00:00:00.0000000","0","0","0","NA","0","1","0","1","1","0","0","NA","NA","2003-12-31","-88","0","0","0","0","0",0,1,NA,NA,6,"SINGLE AWARD","Indefinite Delivery Contract"
"180","17004105","1","3161","0","0","2005","2005","1","GS28F8021H","N0016405F5146","NA","","376194","","1700","N00164","NA","NA","NA","NO","180","","A","NA","","NA","NA","3161","2005-03-14 00:00:00.0000000","2005-03-14 00:00:00.0000000","3161","0","0","1","0","0","0","0","0","0","0","NA","NA","2005-04-18","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Federal Supply Schedule"
"198","18983138","1","1872","0","0","2005","2005","1","N0060400A0029","24AA","NA","","393416","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","1872","2005-03-11 00:00:00.0000000","2005-03-11 00:00:00.0000000","1872","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-11","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"198","18983287","1","128","0","0","2005","2005","1","N0060400A0038","1020","NA","","321407","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","128","2005-02-16 00:00:00.0000000","2005-02-16 00:00:00.0000000","128","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-02-28","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3053503","2","2580","2580","2580","2007","2007","0","","N0016407P1592","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","2580","2007-07-19 00:00:00.0000000","2007-09-10 00:00:00.0000000","600","600","600","NA","0","1","0","0","0","1","1","NA","2007-11-10","2007-11-10","0","0","0","1980","1980","1980",1,1,NA,NA,2,NA,"Purchase Order"
"198","1422148","8","1249970","1249970","1249970","2012","2013","0","","FA865012C5301","NA","","23356","","5700","FA8650","NA","NA","NA","U","198","","A","NA","False","NA","NA","1249970","2011-12-05 00:00:00.0000000","2013-09-12 00:00:00.0000000","4e+05","1249970","1249970","NA","0","1","0","0","0","1","1","NA","2014-03-31","2014-03-31","0","0","0","0","0","0",1,1,NA,NA,4,NA,"Definitive Contract"
"180","3048863","2","7193","0","0","2005","2006","0","","N0016405P1784","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","7193","2005-08-11 00:00:00.0000000","2005-10-07 00:00:00.0000000","13701","0","0","NA","0","1","0","1","1","0","0","NA","NA","2005-12-31","-6508","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"198","18983078","1","1988","0","0","2005","2005","1","N0060400A0019","67AA","NA","","15742","","1700","N00604","NA","NA","NA","J","198","","A","NA","True","NA","NA","1988","2005-03-16 00:00:00.0000000","2005-03-16 00:00:00.0000000","1988","0","0","2","0","0","0","0","0","0","0","NA","NA","2005-03-31","0","0","0","0","0","0",1,1,NA,NA,2,"SINGLE AWARD","Indefinite Delivery Contract"
"180","2964183","236","72233161","100841441","101420643","2008","2013","0","","N0002408C2300","NA","","23356","","1700","","NA","NA","NA","R","180","","A","NA","False","NA","NA","72233161","2007-12-07 00:00:00.0000000","2012-12-22 00:00:00.0000000","8093232","8641493","62992052","NA","0","1","0","0","0","208","1","NA","2013-12-06","2013-08-13","0","0","0","58256146","77469930","32544808",1,1,NA,NA,2,NA,"Definitive Contract"
"180","3046696","1","27989","0","0","2004","2004","0","","N0016404M2785","NA","","23356","","1700","BW17A","NA","NA","NA","J","180","","C","NA","True","NA","NA","27989","2004-09-22 00:00:00.0000000","2004-09-22 00:00:00.0000000","27989","0","0","1","0","0","0","0","0","0","0","NA","NA","2004-10-06","0","0","0","0","0","0",0,0,NA,NA,1,NA,"Purchase Order"
"3AFB","1188548","1","680000","0","0","2002","2002","0","","F3460102C0217","NA","","23356","","5700","GD50","NA","NA","NA","J","3AFB","","C","NA","True","NA","NA","680000","2002-04-04 00:00:00.0000000","2002-04-04 00:00:00.0000000","680000","0","0","1","0","0","0","0","0","0","0","NA","NA","2002-12-31","0","0","0","0","0","0",0,0,1,0,1,NA,"Definitive Contract"
