"","CSIScontractID","IDV","FxCb","Fee","Comp","Link","MDAP","unmodifiedSystemequipmentcode","Who","What","Intl","PSR","LowCeil","Ceil","Dur","SingleOffer","Offr","Soft","UCA","CRai","NChg","Veh","UnmodifiedNumberOfOffersReceived","Term","UnmodifiedContractBaseAndAllOptionsValue","SumOfisChangeOrder","pChangeOrderUnmodifiedBaseAndAll","pChangeOrderObligated","UnmodifiedDays","MinOfEffectiveDate","Action.Obligation","ContractCount","StartFiscalYear","UnmodifiedCompletionDate","EndAfterPeriod","Graph","TermNum"
"2276827",25052556,"IDV","Cost-Based","Combination or Other Fee","Comp.","[750+]","No label",NA,"Army","Other","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","2","Not Software Eng.","Not UCA","[  -Inf,-0.001)","   2","SINGLE AWARD",2,"Unterminated",3.362689e+12,2,-0.9999988,0.9592326,342,2007-07-25,4170000,1,2007,2008-07-01,FALSE,FALSE,0
"8872",18804511,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"17874",18804539,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"20081",18804956,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.958333333333,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"76415",18804759,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"96302",18804947,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"98451",18804667,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"146910",18804906,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"155966",18804263,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"170152",18804268,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"172388",18804941,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"186264",18804815,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"191503",18804787,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"196666",18804945,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"211971",18804642,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"215940",18804888,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"218385",18804830,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"242373",18804641,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"276000",18804946,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"279113",18804960,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"280735",18804447,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"298607",18804838,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"304188",18804332,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"327978",18804310,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"333919",18804794,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"343948",18804416,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"349211",18804865,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
"351305",18804272,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,307,2008-05-29,0,1,2008,2009-04-01,FALSE,FALSE,0
"390256",18804798,"IDV","Cost-Based","Fixed Fee","Comp.","[750+]","No label",NA,"Navy","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Possible Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",253,"Unterminated",72549456595,0,0,0,102.9583,2008-12-19,2501,1,2009,2009-03-31,FALSE,FALSE,0
